ID,gender,minority,deprived,C_we,C_wk,G_we,G_wk,S_we,S_wk,T_we,T_wk,sum,Optm,Usef,Relx,Intp,Engs,Dealpr,Thcklr,Goodme,Clsep,Conf,Mkmind,Loved,Intthg,Cheer
1036471,0,0,1,3.0,2.0,0.0,0.0,4.0,6.0,4.0,6.0,25.0,4,2,3,4,5,4,4,2,4,3,3,4,2,3
1117781,0,0,0,4.0,3.0,0.5,0.0,3.0,2.0,6.0,4.0,22.5,3,4,4,4,4,4,4,4,3,4,4,4,4,4
1004761,0,0,0,4.0,1.0,0.0,0.0,4.0,2.0,5.0,4.0,20.0,3,2,3,2,3,5,5,5,2,4,5,5,2,5
1044789,0,0,1,0.0,2.0,5.0,3.0,0.0,2.0,5.0,3.0,20.0,4,2,2,4,2,5,3,2,2,2,5,5,3,3
1006174,0,0,0,1.0,1.0,0.5,0.0,7.0,6.0,3.0,3.0,21.5,3,3,4,3,3,3,4,4,4,4,4,4,4,4
1014696,0,1,1,1.0,0.5,0.5,0.0,7.0,7.0,3.0,2.0,21.0,2,4,1,4,2,3,3,2,3,2,3,3,1,3
1010805,0,0,0,0.5,1.0,0.0,0.0,7.0,7.0,4.0,3.0,22.5,5,4,3,3,4,4,4,4,4,4,3,5,4,4
1066528,0,0,1,2.0,2.0,0.5,0.0,6.0,5.0,4.0,5.0,24.5,4,5,3,4,5,5,5,5,5,5,5,5,4,5
1020578,0,0,0,1.0,0.5,2.0,0.5,7.0,7.0,6.0,3.0,27.0,3,4,2,3,2,2,2,1,2,2,3,3,3,2
1068411,0,1,1,1.0,3.0,1.0,0.0,7.0,7.0,5.0,2.0,26.0,3,3,3,3,3,2,4,3,2,3,4,3,4,4
1065735,0,1,1,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,28.0,2,3,2,3,1,5,1,1,2,2,2,3,2,2
1066211,0,1,1,1.0,0.5,0.0,0.0,5.0,5.0,6.0,4.0,21.5,3,3,4,4,4,5,4,3,4,4,4,3,4,5
1034011,0,0,1,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,28.0,2,3,3,2,1,1,4,3,1,1,5,5,3,2
1029866,0,1,0,3.0,2.0,0.0,0.0,5.0,4.0,6.0,4.0,24.0,3,3,3,3,3,3,3,3,3,2,3,3,2,3
1086532,0,0,1,0.0,0.0,1.0,1.0,6.0,4.0,7.0,5.0,24.0,5,3,4,3,2,4,5,4,5,4,5,5,5,5
1058452,0,0,0,3.0,0.5,0.0,0.0,7.0,7.0,7.0,7.0,31.5,4,3,3,4,2,4,4,4,3,3,5,5,4,4
1037671,0,0,0,3.0,1.0,0.0,0.0,6.0,5.0,5.0,4.0,24.0,4,4,3,4,3,5,5,3,4,4,4,5,5,5
1060820,0,1,1,2.0,7.0,0.0,0.0,4.0,5.0,4.0,2.0,24.0,3,4,2,2,2,2,2,2,3,3,2,2,2,2
1030504,0,0,1,5.0,4.0,2.0,1.0,7.0,4.0,0.5,3.0,26.5,2,2,1,2,2,1,3,1,4,2,2,2,5,2
1041151,0,0,1,5.0,2.0,2.0,0.5,7.0,2.0,4.0,2.0,24.5,3,3,3,1,3,2,2,2,2,2,3,4,2,2
1026603,0,1,1,5.0,3.0,0.0,0.0,5.0,3.0,7.0,3.0,26.0,4,3,3,3,3,3,3,3,3,3,3,4,4,3
1037543,0,0,0,7.0,2.0,0.0,0.0,7.0,6.0,6.0,4.0,32.0,3,3,3,3,3,3,4,5,5,3,4,5,4,5
1037097,0,0,0,7.0,7.0,0.0,0.0,4.0,4.0,7.0,7.0,36.0,3,2,2,2,2,3,2,2,3,3,3,5,2,3
1010653,0,1,1,7.0,5.0,3.0,1.0,7.0,4.0,4.0,1.0,32.0,3,3,4,3,2,4,4,3,5,3,2,5,3,4
1049439,0,0,0,7.0,7.0,0.0,0.0,5.0,4.0,3.0,2.0,28.0,4,4,1,3,2,4,4,3,3,3,5,5,5,3
1079367,0,0,0,7.0,7.0,0.0,0.0,5.0,3.0,4.0,5.0,31.0,4,1,1,2,1,1,1,1,1,3,5,2,2,1
1111317,0,1,1,7.0,6.0,2.0,1.0,7.0,7.0,5.0,3.0,38.0,2,1,2,3,2,2,2,2,1,2,1,1,3,2
1099612,0,1,1,6.0,6.0,0.0,0.0,7.0,7.0,6.0,3.0,35.0,3,2,2,2,2,2,3,2,1,1,1,3,5,2
1021172,0,0,1,7.0,7.0,0.0,0.0,7.0,5.0,5.0,0.5,31.5,1,3,3,3,3,3,3,1,1,2,2,4,2,2
1078871,0,1,1,7.0,6.0,3.0,3.0,7.0,7.0,7.0,4.0,44.0,2,2,1,3,3,2,2,3,4,4,4,2,4,2
